Table 10,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2019",,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,
State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,Spotsylvania,168,4,31,32,101,803,69,671,63,1
,Stafford,338,6,73,47,212,"1,427",156,"1,203",68,7
,Sussex,8,1,0,2,5,74,23,46,5,3
,Warren,34,1,20,1,12,154,14,135,5,4
,Washington,37,3,10,4,20,603,92,456,55,2
,York,78,0,20,7,51,875,50,793,32,5
VIRGINIA - Nonmetropolitan Counties,Accomack,100,6,10,25,59,333,81,243,9,2
,Alleghany,14,0,5,1,8,88,25,59,4,2
,Bath,3,0,0,0,3,7,0,7,0,1
,Bland,5,0,1,0,4,37,7,26,4,1
,Brunswick,9,0,1,1,7,81,17,59,5,3
,Buchanan,47,1,11,4,31,281,51,199,31,4
,Buckingham,13,1,5,0,7,122,31,80,11,2
,Caroline,58,0,14,4,40,223,25,198,0,5
,Carroll,36,3,5,0,28,166,27,117,22,0
,Charlotte,20,0,5,3,12,122,29,77,16,1
,Cumberland,11,1,0,1,9,41,9,27,5,1
,Dickenson,17,2,0,0,15,33,5,20,8,1
,Essex,19,0,0,0,19,44,17,17,10,0
,Floyd,19,2,9,0,8,82,16,59,7,2
,Grayson,26,3,6,0,17,169,35,103,31,2
,Greensville,10,0,4,2,4,79,20,56,3,0
,Halifax,45,2,14,8,21,209,56,137,16,4
,Henry,126,2,18,22,84,"1,115",220,785,110,10
,Highland,0,0,0,0,0,11,1,9,1,0
,King George,29,0,7,2,20,213,34,159,20,0
,Lancaster,29,1,8,0,20,50,10,38,2,0
,Lee,27,1,5,2,19,122,12,109,1,1
,Louisa,39,5,10,2,22,333,32,271,30,4
,Lunenburg,17,3,3,1,10,40,18,20,2,0
,Mecklenburg,53,1,22,0,30,185,45,126,14,3
,Middlesex,13,1,4,0,8,112,18,89,5,4
,Northampton,12,0,2,2,8,53,11,34,8,0
,Northumberland,20,1,6,0,13,70,21,45,4,2
,Nottoway,15,1,3,1,10,71,16,46,9,0
,Orange,23,0,12,1,10,125,17,97,11,0
,Page,29,0,9,2,18,152,34,110,8,1
,Patrick,37,0,11,3,23,284,62,201,21,3
,Pittsylvania,79,9,18,10,42,425,107,292,26,2
,Prince Edward,19,0,5,2,12,57,16,37,4,0
,Rockbridge,32,1,7,0,24,238,60,164,14,1
,Russell,54,2,16,2,34,159,35,112,12,3
,Shenandoah,46,2,7,0,37,237,54,174,9,0
,Smyth,29,0,12,1,16,186,27,139,20,2
,Surry,3,0,1,0,2,16,2,11,3,0
,Tazewell,36,1,18,3,14,288,39,221,28,4
,Westmoreland,12,0,4,0,8,68,15,50,3,2
,Wise,64,1,39,3,21,249,51,163,35,5
,Wythe,26,3,15,2,6,193,31,139,23,3
WASHINGTON - Metropolitan Counties,Asotin,15,1,4,0,10,126,28,91,7,0
,Benton,73,2,6,5,60,386,81,259,46,5
,Chelan,43,0,3,0,40,322,90,219,13,0
,Clark,230,4,64,27,135,"2,189",402,"1,410",377,10
,Cowlitz,64,3,23,1,37,285,85,150,50,5
,Douglas,15,0,9,1,5,225,59,141,25,1
,Franklin,16,1,1,4,10,126,45,68,13,3
,King,607,5,64,176,362,"3,621",796,"2,132",693,77
,Kitsap,445,3,115,28,299,"3,036",590,"2,196",250,4
,Pierce,"1,152",9,144,183,816,"6,822","1,718","4,029","1,075",48
,Skagit,74,0,11,13,50,757,222,474,61,1
,Skamania,12,1,3,0,8,132,32,88,12,2
,Snohomish,535,1,82,74,378,"4,328",917,"2,619",792,30
,Spokane,195,5,51,20,119,"2,666",555,"1,900",211,11
,Stevens,35,1,8,2,24,338,115,176,47,2
,Thurston,246,3,27,19,197,"1,546",545,808,193,11
,Walla Walla,20,1,4,1,14,266,88,152,26,2
,Yakima,153,8,31,17,97,"1,466",383,759,324,7
WASHINGTON - Nonmetropolitan Counties,Adams,18,0,4,0,14,93,36,45,12,2
,Clallam,49,1,14,3,31,461,119,315,27,1
,Columbia,9,0,1,0,8,72,22,46,4,1
,Ferry,3,0,2,1,0,26,4,19,3,0
,Grant,95,0,25,6,64,837,179,537,121,16
,Grays Harbor,47,1,18,1,27,250,96,134,20,2
,Island,56,1,14,1,40,373,124,230,19,2
,Jefferson,33,0,4,3,26,222,91,117,14,1
,Kittitas,8,1,3,0,4,142,43,88,11,0
,Klickitat,4,1,0,0,3,76,68,5,3,0
,Lewis,86,2,22,3,59,473,146,269,58,1
,Lincoln,10,0,3,0,7,87,26,51,10,5
,Mason,85,0,11,9,65,956,334,510,112,2
,Okanogan,38,1,12,0,25,158,43,106,9,2
,Pacific,21,0,0,2,19,137,59,71,7,1
,Pend Oreille,5,0,2,0,3,140,35,93,12,0
,San Juan,9,0,0,0,9,105,20,76,9,0
,Wahkiakum,4,0,2,0,2,32,9,20,3,0
,Whitman,7,0,0,0,7,35,13,14,8,0
WEST VIRGINIA - Metropolitan Counties,Berkeley,55,2,5,0,48,88,5,81,2,0
,Brooke,4,0,3,0,1,7,1,6,0,1
,Fayette,49,2,0,2,45,347,108,194,45,5
,Hampshire,25,0,2,1,22,118,42,61,15,1
,Hancock,7,0,1,0,6,2,0,2,0,0
,Jackson,44,0,3,0,41,26,7,14,5,1
,Jefferson,40,1,8,7,24,214,27,167,20,1
,Kanawha,380,10,31,13,326,"1,361",463,688,210,17
,Marshall,9,0,0,0,9,67,25,35,7,0
,Mineral,2,0,0,0,2,40,8,32,0,0
,Monongalia,136,0,10,2,124,487,161,297,29,1
,Morgan,59,0,4,2,53,71,15,50,6,0
,Preston,10,1,3,3,3,133,2,119,12,0
,Wirt,14,0,1,0,13,22,12,8,2,0
,Wood,105,3,10,4,88,489,146,292,51,4
WEST VIRGINIA - Nonmetropolitan Counties,Calhoun,0,0,0,0,0,10,3,5,2,0
,Doddridge,1,0,0,1,0,32,15,17,0,0
,Greenbrier,14,1,2,1,10,63,26,32,5,1
,Hardy,33,0,0,0,33,13,5,5,3,0
,Lewis,3,0,0,1,2,22,10,6,6,0
,Logan,131,1,4,0,126,4,0,4,0,3
,McDowell,3,0,0,0,3,4,3,1,0,1
,Mercer,83,4,8,10,61,306,106,163,37,7
,Monroe,1,0,1,0,0,33,11,18,4,0
,Nicholas,120,0,4,0,116,13,0,13,0,2
,Randolph,80,0,4,0,76,174,66,102,6,3
,Roane,4,0,0,0,4,2,0,2,0,1
,Summers,10,0,0,0,10,25,3,17,5,0
,Upshur,3,0,2,0,1,11,1,9,1,0
,Wetzel,41,0,2,0,39,22,9,8,5,1
,Wyoming,66,0,1,1,64,70,24,39,7,0
WISCONSIN - Metropolitan Counties,Brown,83,1,28,3,51,623,36,557,30,2
,Calumet,10,0,4,0,6,74,12,53,9,0
,Chippewa,53,4,22,0,27,199,48,141,10,1
,Columbia,34,1,8,0,25,201,47,136,18,2
,Dane,98,0,20,5,73,684,181,453,50,2
,Douglas,15,0,5,2,8,156,45,99,12,0
,Eau Claire,29,0,16,0,13,192,65,108,19,1
,Fond du Lac,26,0,9,1,16,204,102,92,10,0
,Green6,7,0,3,0,4,56,8,45,3,0
,Iowa,8,0,1,0,7,43,11,31,1,0
,Kenosha,50,0,12,7,31,253,26,216,11,6
,Kewaunee,13,0,3,0,10,42,7,34,1,0
,La Crosse,15,0,2,0,13,126,39,78,9,0
,Lincoln,38,0,4,0,34,56,17,36,3,1
,Marathon6,41,0,8,4,29,319,45,264,10,0
,Milwaukee,107,2,7,5,93,92,0,68,24,1
,Oconto,19,0,4,1,14,212,80,124,8,0
,Outagamie,37,0,8,0,29,265,82,165,18,3
,Ozaukee,13,0,8,0,5,76,18,51,7,0
,Pierce,4,0,0,0,4,99,29,67,3,2
,Rock,56,0,16,4,36,244,57,163,24,1
,Sheboygan,27,0,4,1,22,271,22,233,16,1
,St. Croix,22,0,1,1,20,278,82,182,14,1
,Washington,7,0,5,1,1,192,37,148,7,0
,Waukesha,58,0,1,0,57,305,37,250,18,0
,Winnebago,18,0,3,1,14,155,45,97,13,0
WISCONSIN - Nonmetropolitan Counties,Adams,21,0,0,0,21,255,109,134,12,2
,Ashland,22,0,3,0,19,41,11,29,1,0
,Barron,20,1,13,0,6,127,35,83,9,2
,Bayfield,19,0,3,0,16,80,33,40,7,0
,Buffalo,4,0,1,0,3,6,1,3,2,0
,Burnett,20,0,4,0,16,237,78,144,15,3
,Clark,14,0,1,0,13,97,25,57,15,3
,Crawford,25,0,2,0,23,90,10,79,1,0
,Dodge,39,0,14,3,22,149,16,123,10,0
,Door,10,0,4,0,6,57,10,44,3,0
,Dunn,47,0,6,1,40,82,17,51,14,0
,Florence6,11,0,1,0,10,16,0,15,1,0
,Forest,8,0,2,0,6,52,9,37,6,2
,Grant,38,1,10,0,27,133,34,84,15,1
,Green Lake,4,0,2,0,2,49,4,41,4,0
,Iron,7,0,0,0,7,42,1,38,3,0
,Jackson,11,0,1,2,8,131,35,78,18,0
,Jefferson,35,0,1,2,32,231,58,162,11,0
,Juneau,50,1,10,0,39,141,49,83,9,0
,Manitowoc,32,0,1,0,31,131,35,91,5,0
,Marinette,10,1,4,2,3,198,81,105,12,1
,Marquette,9,1,1,1,6,69,10,57,2,1
,Monroe,30,0,0,0,30,101,26,59,16,1
,Oneida,28,0,7,0,21,150,37,107,6,1
,Pepin,6,0,4,0,2,30,7,23,0,0
,Polk,35,0,15,2,18,167,34,110,23,0
,Portage,40,0,10,0,30,138,56,75,7,1
,Price,4,0,0,0,4,73,33,38,2,0
,Rusk,13,0,4,1,8,44,14,27,3,0
,Sauk,27,2,13,4,8,304,103,181,20,0
,Sawyer,38,0,7,0,31,105,21,79,5,0
,Taylor,21,0,5,0,16,56,7,48,1,0
,Trempealeau,11,0,0,0,11,82,17,60,5,0
,Vernon,3,1,0,0,2,77,12,58,7,0
,Vilas,4,0,0,0,4,101,20,76,5,0
,Walworth,10,0,3,2,5,152,65,79,8,1
,Washburn,19,0,6,0,13,123,51,63,9,0
,Waupaca,52,0,8,0,44,298,58,221,19,0
,Waushara,36,1,3,1,31,158,42,102,14,1
,Wood,18,1,14,0,3,123,27,85,11,1
WYOMING - Metropolitan Counties,Natrona,48,0,10,2,36,145,50,79,16,1
WYOMING - Nonmetropolitan Counties,Albany,6,0,1,0,5,28,4,22,2,0
,Big Horn,3,0,2,0,1,20,3,16,1,1
,Campbell,73,0,8,0,65,118,19,83,16,0
,Carbon,9,0,1,0,8,38,4,33,1,0
,Converse,11,0,0,0,11,34,1,32,1,0
,Crook,4,0,1,0,3,17,2,14,1,0
,Fremont,13,0,4,0,9,183,22,144,17,0
,Goshen,10,0,1,0,9,27,9,16,2,0
,Hot Springs,2,0,0,0,2,8,1,7,0,0
,Johnson,4,0,1,0,3,22,5,13,4,0
,Lincoln,16,0,7,0,9,119,37,77,5,1
,Niobrara,4,0,0,0,4,10,2,8,0,0
,Park6,13,0,8,0,5,67,20,43,4,1
,Platte,0,0,0,0,0,44,8,32,4,0
,Sheridan,3,0,0,0,3,47,7,31,9,0
,Sublette,3,0,0,0,3,45,2,40,3,0
,Sweetwater,16,0,4,0,12,83,16,58,9,1
,Uinta,2,0,0,0,2,40,5,34,1,0
,Washakie,2,0,1,0,1,22,3,13,6,0
,Weston,0,0,0,0,0,1,0,0,1,0
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,
2 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,
3 Limited data for 2019 were available for Alabama. ,,,,,,,,,,,
"4 The FBI determined that the agency's data were overreported. Consequently, those data are not included in this table.",,,,,,,,,,,
5 The Tulare County Highway Patrol collects the motor vehicle thefts for this county. These data can be found in Table 11. ,,,,,,,,,,,
"6 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data. ",,,,,,,,,,,
"7 The FBI determined that the agency's data were underreported. Consequently, those data are not included in this table.",,,,,,,,,,,
"8 This agency submits rape data classified according to the legacy UCR definition; therefore, the rape offense and violent crime total, which rape is a part of, is not included in this table. See the data declaration for further explanation. ",,,,,,,,,,,
