,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Intro,Year 1,Year 2,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 1,Participant 2,Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Participant 3,Participant 4,Participant 5,Participant 6,Participant 7,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,,Year 4,Year 5,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Night float system (Residents participate during first year),Participant 8,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Participant 9,Specialty Details,1,15,2,3,Yes
0,https://freida.ama-assn.org/program/3001112077,Community-based,Orlando Regional Medical Center,4,4,No,Yes,July,Yes,No,http://www.orlandohealth.com,Not Available,"Christopher D Hornsby
MD
Orlando Regional Med Ctr
Dept of Pathology 2B
52 W Underwood St
Orlando, FL 32806
Tel:
Fax: (321) 843-6219
E-mail: erika.kozy@orlandohealth.com","Chelle  Kozy
Orlando Regional Med Ctr
Dept of Pathology 2B
52 W Underwood St
Orlando, FL 32806
Tel:
Fax: (321) 843-6219
E-mail: erika.kozy@orlandohealth.com",3001112077,"Orlando Regional Med Ctr, Dept of Pathology 2B, 52 W Underwood St, Orlando, FL 32806","1414 Kuhl Ave, Orlando, FL 32806","1414 Kuhl Ave, Orlando, FL 32806",,2,3,No,No,"Yes , Codes: 1107300C0",No,12/31/2020,11/2/2020 - 1/8/2021_11/1/2021 - 1/7/2022,10/21/2021,12/31/2021,Yes,35,No,No,3,No,Yes,200___,No,226-235,"No, require USMLE scores for all applicants",No Answer,No Answer,"Desired, with some exceptions",No,No,No,13,2,3,0,16,2,38.4,1.4 to 1,60,12,1,Yes,Yes,N/A,NGO,Other for 1 month(s),NGO,Other for 1 month(s),NGO,8,NGO,N/A,"$59,000.00",15,12,"$61,100.00",15,12,Yes,27,63,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Optional,Yes,Yes,Yes,"601 E Rollins, Orlando, FL 32803","1401 Lucerne Terr, Orlando, FL 32806",3,"$63,600.00",15,12,"12701 Commonealth Dr, Fort Myers, FL 33913",,,,,"$57,000.00",15,12,,2,,33.3,66.6,0,40,60,Other for 1 month(s),NGO,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001100001,,,4,4,Yes,Yes,July,No,No,,Not Available,"Allan  Schiller
MD
HCA Healthcare East Florida Division GME
Pathology Pgm
8201 W Broward Blvd
Plantation, FL 33324
Tel: (954) 724-6645
Fax:
E-mail: katharine.haines@hcahealthcare.com","Katharine  Haines
HCA Healthcare East Florida Division GME
Pathology Pgm
8201 W Broward Blvd
Plantation, FL 33324
Tel: (954) 724-6645
Fax:
E-mail: katharine.haines@hcahealthcare.com",3001100001,"HCA Healthcare East Florida Division GME, Pathology Pgm, 8201 W Broward Blvd, Plantation, FL 33324","450 E Las Olas Rd, Fort Lauderdale, FL 33301","8201 W Broward Blvd, Plantation, FL 33324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2801 N State Rd 7, Margate, FL 33063","20900 Biscayne Blvd, Aventura, FL 33180",,,,,"1201 NW 16th St, Miami, FL 33125","5361 NW 33rd Ave, Fort Lauderdale, FL 33309","Number One on Bob Hope Rd, Miami, FL 33136-1133","3000 W Cypress Creek Rd, Fort Lauderdale, FL 33309","12701 Commonealth Dr, Fort Myers, FL 33913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001131078,,,4,4,No,Yes,July,Yes,No,http://health.usf.edu/medicine/pcb/index.htm,Not Available,"Evita  Henderson-Jackson
MD
USF Health Morsani Coll of Med
MDC 11
12901 Bruce B Downs Blvd
Tampa, FL 33612
Tel: (813) 396-2515
Fax:
E-mail: mburnham@usf.edu","Michelle  Burnham
USF Health Morsani Coll of Med
MDC 11
12901 Bruce B Downs Blvd
Tampa, FL 33612-4742
Tel: (813) 396-2515
Fax: (813) 905-9896
E-mail: mburnham@usf.edu",3001131078,"USF Health Morsani Coll of Med, MDC 11, 12901 Bruce B Downs Blvd, Tampa, FL 33612","12901 N Bruce B Downs Blvd, Tampa, FL 33612","12901 Magnolia Dr, Tampa, FL 33612-9497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000 Bay Pines Blvd, Bay Pines, FL 33744","13000 Bruce B Downs Blvd, Tampa, FL 33612-4798",,,,,"11025 N 46th St, Tampa, FL 33617","1 Tampa General Circle, Tampa, FL 33601","13330 Laurel Dr, Tampa, FL 33612","4041 W Kennedy Blvd, Tampa, FL 33609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001221080,,,4,4,Yes,Yes,"July,Negotiable",Yes,No,,Not Available,"Charles  Hill
MD, PhD
Emory Univ Hosp
Univ Hosp Rm H-185A
1364 Clifton Rd NE
Atlanta, GA 30322-8110
Tel: (404) 727-4283
Fax: (404) 727-2519
E-mail: lynn.hansen@emory.edu","Lynn  Hansen
MA
Emory Univ Hosp
Univ Hosp Rm H-185D
1364 Clifton Rd NE
Atlanta, GA 30322-8110
Tel: (404) 712-1990
Fax: (404) 727-2519
E-mail: lynn.hansen@emory.edu",3001221080,"Emory Univ Hosp, Univ Hosp Rm H-185A, 1364 Clifton Rd NE, Atlanta, GA 30322-8110","1440 Clifton Rd NE, Atlanta, GA 30322","1364 Clifton Rd NE, Atlanta, GA 30322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1670 Clairmont Rd, Decatur, GA 30033","1405 Clifton Rd NE, Atlanta, GA 30322-1101",,,,,"80 Butler St SE, Atlanta, GA 30335","430 Pryor St SW, Atlanta, GA 30312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001221082,,,4,4,No,Yes,July,Yes,No,http://www.augusta.edu/mcg/pathology/residency/,Not Available,"Natasha M Savage
MD
Med Coll of Georgia/Augusta Univ
Dept of Pathology BAE 2031
1120 15th St
Augusta, GA 30912
Tel: (706) 721-2092
Fax: (706) 721-2092
E-mail: nsavage@augusta.edu","Allegra  Blair
BA
Med Coll of Georgia/Augusta Univ
BF-103B
1120 15th St
Augusta, GA 30912
Tel: (706) 721-5118
Fax: (706) 721-2358
E-mail: ablair@augusta.edu",3001221082,"Med Coll of Georgia/Augusta Univ, Dept of Pathology BAE 2031, 1120 15th St, Augusta, GA 30912","1120 15th St, Augusta, GA 30912-5000","1 Freedom Way, Augusta, GA 30904-6285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3121 Panthersville Rd, Decatur, GA 30037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001421085,Community-based university affiliated,Queen's Medical Center,4,4,No,Yes,July,Yes,No,http://www.hawaiiresidency.org/pathology-residency/pathology-home,Not Available,"David  Shimizu
MD
Univ of Hawaii John A Burns Sch of Med
#511
1356 Lusitana St
Honolulu, HI 96813
Tel:
Fax: (808) 586-8211
E-mail: dshimizu@queens.org","Noreen  Matsuda
Univ of Hawaii John A Burns Sch of Med
#511
1356 Lusitana St
Honolulu, HI 96813
Tel: (808) 586-8213
Fax: (808) 586-8211
E-mail: pathres@hawaii.edu",3001421085,"Univ of Hawaii John A Burns Sch of Med, #511, 1356 Lusitana St, Honolulu, HI 96813","1356 Lusitana St, Honolulu, HI 96813","1301 Punchbowl St, Honolulu, HI 96813",A unique balanced experience with excellent exposure to all aspects of pathology for both anatomic and clinical pathology. The inherent ethnic diversity of the tropical Hawaiian Islands provides a wide variety of specimens and clinical settings. Program offers high degree of independent decision-making.,3,2,No,No,"Yes , Codes: 3350300C0",No,12/15/2020,10/1/2020 - 2/1/2021_10/1/2021 - 2/1/2022,9/15/2021,12/15/2021,Yes,15,No,No,3,No,Yes,210_220_500_500,Yes,226-235,Yes,Yes,450-500,"Desired, with some exceptions",Yes,No,No,1,0,13,0,14,0,100,0.7 to 1,50,12,1.5,No,No,N/A,NGO,N/A,NGO,N/A,NGO,8,NGO,N/A,"$62,463.00",16,12,"$63,868.00",16,12,Yes,0,84,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Optional,No,Yes,Yes,"1319 Punahou St, Honolulu, HI 96826-1032","3288 Moanalua N Frontage Rd, Honolulu, HI 96819",2,"$69,419.00",16,12,"835 Iwilei Rd, Honolulu, HI 96817","2043 Dillingham Blvd, Honolulu, HI 96819","3181 SW Sam Jackson Park Rd, Portland, OR 97201-3098",,,"$61,133.00",16,12,,3,,48.4,41,10.4,69.3,30.6,N/A,NGO,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001821116,University-based,University of Iowa Hospitals and Clinics,4,4,No,Yes,"July,Negotiable",Yes,No,http://www.uihealthcare.org/,Not Available,"Amani  Bashir
MD
Univ of Iowa Hosps and Clinics
5238-G Roy Carver Pavilion
200 Hawkins Dr
Iowa City, IA 52242
Tel: (319) 467-5706
Fax: (319) 384-8052
E-mail: amani-bashir@uiowa.edu","Angela S Briggs
MA
Univ of Iowa Hosps and Clinics
C681 General Hosp
200 Hawkins Dr
Iowa City, IA 52242
Tel: (319) 384-6388
Fax: (319) 384-9613
E-mail: angela-briggs@uiowa.edu",3001821116,"Univ of Iowa Hosps and Clinics, 5238-G Roy Carver Pavilion, 200 Hawkins Dr, Iowa City, IA 52242","200 Hawkins Dr, Iowa City, IA 52242-1009","Hwy 6 West, Iowa City, IA 52240",,4,5,No,No,"Yes , Codes: 1203300C0",No,1/29/2021,10/21/2020 - 1/29/2021_10/21/2021 - 1/31/2022,9/1/2021,1/31/2022,Yes,58,No,No,3,No,No,___,No,226-235,No,No,541-600,Not required,Yes,Yes,No,36,1,0,0,36,1,36.1,1.8 to 1,55,16,1.5,No,No,N/A,2,N/A,9,N/A,9,6,NGO,N/A,"$59,900.00",15,NGO,"$62,000.00",15,NGO,Yes,NGO,NGO,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Optional,Yes,Yes,Yes,,,6,"$64,500.00",15,NGO,,,,,,"$57,800.00",15,NGO,,5,,60.7,29.3,9.9,52.4,47.5,N/A,9,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001611095,University-based,Rush University Medical Center,4,4,No,Yes,July,Yes,No,http://www.rush.edu/professionals/gme/pathology/index.html,Not Available,"David  Cimbaluk
MD
Rush Univ Med Ctr
Pathology Pgm
1750 W Harrison St
Chicago, IL 60612
Tel: (312) 942-5260
Fax: (312) 942-3434
E-mail: david_j_cimbaluk@rush.edu","Irma J Parker
Rush Univ Med Ctr
Pathology Pgm Rm 535 Jelke
1750 W Harrison St
Chicago, IL 60612-3833
Tel: (312) 942-5471
Fax: (312) 942-3434
E-mail: rush_pathology_residency@rush.edu",3001611095,"Rush Univ Med Ctr, Pathology Pgm, 1750 W Harrison St, Chicago, IL 60612","1653 W Congress Pkwy, Chicago, IL 60612","2121 W Harrison St, Chicago, IL 60612-3705","Dynamic AP/CP residency program located in the heart of Chicago, dedicated to providing a quality training experience with particular emphasis on resident wellness and graduated responsibility.",4,4,No,No,"Yes , Codes: 1147300C0",No,11/15/2020,11/16/2020 - 1/29/2021_11/15/2021 - 1/31/2022,9/13/2021,11/15/2021,Yes,75,No,No,3,No,Yes,___,No,226-235,Yes,No,501-540,"Desired, with some exceptions",Yes,No,No,13,3,0,0,13,3,38.4,0.8 to 1,50,16,1.5,No,No,N/A,3,N/A,4,N/A,3,6,NGO,N/A,"$63,770.00",20,NGO,"$65,776.00",20,NGO,Yes,14,70,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Optional,Yes,Yes,Yes,,,4,"$69,063.00",20,NGO,,,,,,"$58,279.00",20,NGO,,4,,16.6,75,8.3,50,50,N/A,3,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001621094,,,4,4,No,No,June,Yes,No,https://www.pathology.northwestern.edu/education/residency/index.html,Not Available,"Kruti P Maniar
MD
Northwestern Memorial Hosp
Dept of Pathology Feinberg Pavillion 7-3
251 E Huron St
Chicago, IL 60611
Tel: (312) 926-9648
Fax:
E-mail: raven.rodriguez@northwestern.edu","Raven  Rodriguez
McGaw Med Ctr Northwestern Univ
Ward 3-140
303 E Chicago Ave
Chicago, IL 60611
Tel: (312) 503-8223
Fax: (312) 503-8249
E-mail: raven.rodriguez@northwestern.edu",3001621094,"Northwestern Memorial Hosp, Dept of Pathology Feinberg Pavillion 7-3, 251 E Huron St, Chicago, IL 60611","420 E Superior St, Chicago, IL 60611","251 E Huron, Chicago, IL 60611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225 E Chicago Ave, Chicago, IL 60611","2121 W Harrison St, Chicago, IL 60612-3705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001621097,,,4,4,No,No,"June,July,Negotiable",Yes,No,http://pathology.uchicago.edu,Not Available,"Kammi  Henriksen
MD
Univ of Chicago Med Ctr
MC 3083
5841 S Maryland Ave
Chicago, IL 60637
Tel:
Fax:
E-mail: kammi.henriksen@uchospitals.edu","Andrea  Wortham-Robinson
Univ of Chicago Med Ctr
S631
5841 S Maryland Ave
Chicago, IL 60637-1470
Tel: (773) 834-7708
Fax: (773) 702-1119
E-mail: awrobinson1@bsd.uchicago.edu",3001621097,"Univ of Chicago Med Ctr, MC 3083, 5841 S Maryland Ave, Chicago, IL 60637","5841 S Maryland Ave, Chicago, IL 60637","2121 W Harrison St, Chicago, IL 60612-3705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001621098,University-based,University of Illinois Hospital and Clinics,4,4,Yes,Yes,"July,Negotiable",Yes,No,http://pathology.uic.edu,Not Available,"Steven A Garzon
MD
Univ of Illinois Med Ctr
Dept of Pathology MC 847 Rm 130 CSN
840 S Wood St
Chicago, IL 60612
Tel: (312) 996-3877
Fax: (312) 996-7586
E-mail: sgarzo1@uic.edu","Rhonda  Albritton
Univ of Illinois Med Ctr
Dept of Pathology MC 847 Rm 130 CSN
840 S Wood St
Chicago, IL 60612-7335
Tel: (312) 413-1790
Fax: (312) 996-7586
E-mail: pathresident@listserv.uic.edu",3001621098,"Univ of Illinois Med Ctr, Dept of Pathology MC 847 Rm 130 CSN, 840 S Wood St, Chicago, IL 60612","1853 W Polk St, Chicago, IL 60612","1740 W Taylor St, Chicago, IL 60612",,5,5,No,No,"Yes , Codes: 1150300C0",No,,-_10/21/2021 - 12/31/2021,9/1/2021,12/31/2021,Yes,86,No,No,3,No,Yes,200__500_,No,226-235,Yes,No,501-540,Not required,Yes,No,No,45,0,0,0,45,0,44.4,1.9 to 1,40,16,2,No,No,N/A,0,Negotiable for week(s),NGO,Negotiable for week(s),NGO,5,NGO,N/A,"$60,780.00",20,24,"$62,856.00",20,24,Yes,NGO,60,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Optional,No,Yes,Yes,"820 S Damen Ave, Chicago, IL 60680","1775 W Dempster St, Park Ridge, IL 60068-1174",6,"$65,280.00",20,24,,,,,,"$58,716.00",20,24,,7,,12,76.1,11.8,55.1,44.8,Negotiable for week(s),NGO,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001621412,Community-based university affiliated,Evanston Hospital-Northshore University Health System,4,4,No,Yes,"June,July",Yes,No,https://www.northshore.org/laboratory-medicine-pathology/,Not Available,"Megan E Sullivan
MD
NorthShore Univ HealthSystem
Evanston Hosp Dept of Pathology
2650 Ridge Ave
Evanston, IL 60201
Tel: (847) 570-2167
Fax: (847) 570-1938
E-mail: msullivan4@northshore.org","Cori  Freking
Univ of Chicago NorthShore
Evanston Hosp Dept of Pathology Rm 1917
2650 Ridge Ave
Evanston, IL 60201
Tel: (847) 570-2019
Fax: (847) 570-1938
E-mail: pathologyresidency@northshore.org",3001621412,"NorthShore Univ HealthSystem, Evanston Hosp Dept of Pathology, 2650 Ridge Ave, Evanston, IL 60201","5841 S Maryland Ave, Chicago, IL 60637","2650 Ridge Ave, Evanston, IL 60201-1781",Our program blends the best of the academic and community hospital worlds and offers broad experience in both AP and CP. The compact nature of the program allows valuable one-on-one teaching by a very talented and teaching-oriented faculty.,3,3,No,No,"Yes , Codes: 1160300C2",No,12/1/2020,11/1/2020 - 12/31/2020_10/1/2021 - 12/31/2021,9/15/2021,12/1/2021,Yes,41,No,No,3,No,Yes,210_220_475_475,Yes,210-225,Yes,Yes,501-540,"Desired, with some exceptions",Yes,Yes,Yes,23,6,2,0,25,6,30.4,2.0 to 1,50,16,1.8,Yes,No,N/A,0,N/A,7,N/A,7,7,NGO,N/A,"$65,714.00",20,5,"$67,980.00",20,5,No answer,20,40,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,"Available, Not Paid By Institution","Available, Not Paid By Institution",Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Optional,No,No,Yes,"225 E Chicago Ave, Chicago, IL 60611","2121 W Harrison St, Chicago, IL 60612-3705",4,"$71,070.00",20,5,,,,,,"$61,800.00",20,5,,2,,22.2,69.4,8.3,47.2,52.7,N/A,6,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001621394,University-based,Loyola University Medical Center,4,4,Yes,Yes,July,Yes,No,http://ssom.luc.edu/pathology,Not Available,"Vijayalakshmi  Ananthanarayanan
MD
Loyola Univ Med Ctr
EMS 110 Rm 2280
2160 S First Ave
Maywood, IL 60154
Tel: (708) 216-5833
Fax:
E-mail: vananth@lumc.edu","Elzbieta  Stekala
Loyola Univ Med Ctr
EMS 110 Rm 2225
2160 S First Ave
Maywood, IL 60153
Tel: (708) 327-2689
Fax: (708) 327-2585
E-mail: estekal@lumc.edu",3001621394,"Loyola Univ Med Ctr, EMS 110 Rm 2280, 2160 S First Ave, Maywood, IL 60154","2160 S First Ave, Maywood, IL 60153-5585","5th Ave & Roosevelt Rd, Hines, IL 60141","Our residency training program provides training in anatomic pathology (AP) and clinical pathology (CP). Our program offers flexibility for residents to prepare a career in either an academic or a community based practice. Special features include lab directorship rotation, elective rotations, incorporated wellness curriculum, collegial training environment, fellowship opportunities, active social media presence.",4,5,No,No,"Yes , Codes: 1170300C0",No,2/15/2021,11/15/2020 - 2/15/2021_10/15/2021 - 2/15/2022,9/15/2021,1/15/2022,Yes,70,No,No,3,No,Yes,194_209_400_400,Yes,210-225,Yes,Yes,450-500,"Desired, with some exceptions",Yes,No,No,18,5,2,0,20,5,50,1.1 to 1,45,16,2,No,No,N/A,2,N/A,8,N/A,7,5,NGO,N/A,"$63,731.00",20,12,"$65,728.00",20,12,Yes,32,NGO,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Optional,Yes,Yes,No,"225 E Chicago Ave, Chicago, IL 60611",,4,"$69,063.00",20,12,,,,,,"$59,862.00",20,12,,4,,21.1,70.2,8.6,42.5,57.5,N/A,5,,,,,,,,,,,,,,,,,
